Do kterého amerického fotbalového týmu odešel na závěr kariéry Pelé?;New York Cosmos;LA Galaxy;Los Angeles Aztecs;Dallas Tornado
Do kterého týmu přestoupil ze Sparty Petr Čech?;Stade Rennes;Lens;Chelsea FC;AS Monaco
Doplňte jméno bývalého hráče FC Barcelona: X______ Hernández;Xavi;Xabi;Xanti;Ximun
Doplňte jméno bývalého hráče Hamurgeru SV: U_____ Seeler;Uwe;Ulrich;Ulli;Urban
Doplňte jméno bývalého hráče Liverpoolu FC: I____ Rush;Ian;Ike;Isaac;Irving
Doplňte jméno bývalého hráče Manchesteru City: V_______ Kompany;Vincent;Valère;Valentin;Vivien
Doplňte jméno bývalého hráče Manchesteru City: Y______ Touré;Yaya;Yves;Youri;Yannic
Doplňte jméno bývalého hráče Manchesteru United: David B______;Beckham;Best;Bruce;Buchan
Doplňte jméno bývalého hráče Manchesteru United: W______ Rooney;Wayne;Warren;Wallace;Wilfred
Doplňte jméno bývalého hráče Realu Madrid: Z______ Zidane;Zinédine;Zacharie;Zaid;Ziyad
Doplňte jméno fotbalové legendy: D_____ Maradona;Diego;Domingo;David;Dani
Doplňte jméno fotbalové legendy: N_______ Bendtner;Nicklas;Niklas;Nikias;Nils
Doplňte jméno hráče Atlética Madrid: Luis S______;Suárez;Saúl;Santiago;Sánchez
Doplňte jméno hráče Barcelony: A_____ Griezmann;Antoine;Alain;André;Alexandre
Doplňte jméno hráče Barcelony: Gerard P____;Piqué;Pedro;Puyol;Paulinho
Doplňte jméno hráče PSG: L____ Messi;Lionel;León;Lorenzo;Luis
Doplňte jméno hráče Barcelony: O_____ Dembelé;Ousmane;Oscar;Olivier;Onésime
Doplňte jméno hráče Bayern Mnichov: R______ Lewandowski;Robert;Roman;Radzim;Radosław
Doplňte jméno hráče Evertonu FC: J____ Rodríguez;James;Juan;Julián;José
Doplňte jméno hráče Juventusu: C______ Ronaldo;Cristiano;Carlos;Cláudio;Casemiro
Doplňte jméno hráče Liverpoolu FC: M_______ Salah;Mohamed;Magdy;Majid;Malik
Doplňte jméno hráče Liverpoolu FC: Roberto F_______;Firmino;Fabinho;Fernandes;Fowler
Doplňte jméno hráče PSG: K______ Mbappé;Kylian;Kévin;Kanu;Kalidou
Doplňte jméno hráče Realu Madrid: T_____ Kroos;Toni;Thomas;Theo;Tim
Doplňte jméno hráče Realu Mardid: E____ Hazard;Eden;Edmé;Émeric;Étienne
